variant,date,decision_hour,risk_mode,horizon_slots,simultaneous_flow_slots,simultaneous_flow_max_kwh,max_eq_residual_kwh,solver_status
q2_fixed_clustered,2025-08-07,0,clustered,144,0,0.0,9.094947017729282e-13,optimal
q2_fixed_clustered,2025-08-08,0,clustered,144,0,0.0,2.2737367544323206e-13,optimal
q2_fixed_clustered,2025-08-09,0,clustered,144,0,0.0,2.2737367544323206e-13,optimal
q2_fixed_clustered,2025-08-10,0,clustered,144,0,0.0,9.094947017729282e-13,optimal
q2_fixed_clustered,2025-08-11,0,clustered,144,0,0.0,4.547473508864641e-13,optimal
q2_fixed_clustered,2025-08-12,0,clustered,144,0,0.0,2.2737367544323206e-13,optimal
q2_fixed_clustered,2025-08-13,0,clustered,144,0,0.0,4.547473508864641e-13,optimal
q2_fixed_clustered,2025-08-14,0,clustered,144,0,0.0,4.547473508864641e-13,optimal
q2_fixed_clustered,2025-08-15,0,clustered,144,0,0.0,9.094947017729282e-13,optimal
q2_fixed_clustered,2025-08-16,0,clustered,144,0,0.0,2.2737367544323206e-13,optimal
q2_fixed_clustered,2025-08-17,0,clustered,144,0,0.0,9.094947017729282e-13,optimal
q2_fixed_clustered,2025-08-18,0,clustered,144,0,0.0,1.8189894035458565e-12,optimal
q2_fixed_clustered,2025-08-19,0,clustered,144,0,0.0,9.094947017729282e-13,optimal
q2_fixed_clustered,2025-08-20,0,clustered,144,0,0.0,4.547473508864641e-13,optimal
q2_fixed_clustered,2025-08-21,0,clustered,144,0,0.0,2.2737367544323206e-13,optimal
q2_fixed_clustered,2025-08-22,0,clustered,144,0,0.0,9.094947017729282e-13,optimal
q2_fixed_clustered,2025-08-23,0,clustered,144,0,0.0,2.2737367544323206e-13,optimal
q2_fixed_clustered,2025-08-24,0,clustered,144,0,0.0,9.094947017729282e-13,optimal
q2_fixed_clustered,2025-08-25,0,clustered,144,0,0.0,4.547473508864641e-13,optimal
q2_fixed_clustered,2025-08-26,0,clustered,144,0,0.0,2.2737367544323206e-13,optimal
q2_fixed_clustered,2025-08-27,0,clustered,144,0,0.0,4.547473508864641e-13,optimal
q2_fixed_clustered,2025-08-28,0,clustered,144,0,0.0,4.547473508864641e-13,optimal
q2_fixed_clustered,2025-08-29,0,clustered,144,0,0.0,1.8189894035458565e-12,optimal
q2_fixed_clustered,2025-08-30,0,clustered,144,0,0.0,9.094947017729282e-13,optimal
q2_fixed_clustered,2025-08-31,0,clustered,144,0,0.0,2.2737367544323206e-13,optimal
