release_set,allowed_issue_hours,month,days,cash_cost_yuan,contract_cost_yuan,emergency_cost_yuan,plan_kwh,final_contract_kwh,actual_effective_grid_kwh,emergency_kwh,emergency_days,emergency_slots,unused_contract_kwh,pv_curtailed_kwh,charge_kwh,discharge_kwh,safe_net_coverage,pinball_mean_kw,soc_end_kwh,max_balance_residual_kwh,saving_vs_S_none_yuan,emergency_reduction_vs_S_none_kwh
S_6_12,"6,12",2,28,1469405.5490511055,1468000.4355736603,1405.113477445388,2428357.6550196474,2265130.2590324297,1916042.6359467418,238.99056678965752,8,12,349326.61365247733,106383.07755109564,504104.6648893658,408324.7785603863,0.9032738095238095,157.41587500843255,10800.0,2.2737367544323206e-13,39371.072874963575,3028.8164721937283
S_6_12,"6,12",3,31,1328546.1083853575,1323872.7170510876,4673.391334269824,2222692.379510233,2079142.209627297,1810417.8776118688,776.0184581159142,7,27,269500.3504735445,179180.73231410442,552207.7833215669,447288.3044904692,0.8165322580645161,149.90466295327315,10800.0,2.2737367544323206e-13,53576.752858707914,4327.007612170163
S_6_12,"6,12",4,30,1062486.8242813796,1041832.8947112125,20653.92957016695,1707106.6409793145,1686245.3809480192,1528269.8253248543,3292.9307936630275,17,57,161268.48641682783,207412.87048292198,542932.6530195791,439805.2971776464,0.6511574074074075,144.4660068996007,10766.83529801414,2.2737367544323206e-13,56812.519718487565,5182.475153996233
S_6_12,"6,12",5,31,1178282.562282249,1066730.7144234392,111551.84785880972,1739661.9858066628,1715508.9555053518,1544819.223022453,17518.618528264822,21,150,188208.35101116356,260312.34745018097,514034.53880956926,416338.12820396386,0.609094982078853,183.27023865756416,10800.0,2.2737367544323206e-13,35945.647285852894,3093.894196009719
S_6_12,"6,12",6,30,1517608.7053363489,1419277.5934595617,98331.11187678702,2280742.1890911856,2176494.7987767793,1975232.126095794,15743.491346091458,21,209,217006.16402707648,119166.28846286706,558277.2181557557,452204.5467061621,0.5833333333333334,189.83590601046996,10800.0,2.2737367544323206e-13,58243.081728255194,3964.64463658574
S_6_12,"6,12",7,31,1686749.3910270515,1591181.1346548346,95568.25637221638,2424020.933103789,2396214.3311323696,2191172.1770572853,16328.816732338268,19,200,221370.9708074218,140750.15647395552,555804.0056140178,450201.24454735446,0.5857974910394266,204.87425540178367,10800.0,2.8421709430404007e-13,22020.825207397153,1985.7781449516103
S_6_12,"6,12",8,31,1597985.0667471192,1597967.8156610632,17.25108605598239,2550493.2701735096,2383352.4908569427,1957374.046564566,2.5608381289961244,1,1,425981.00513050595,283935.4691922817,470135.3321348304,380809.6190292127,0.9567652329749103,196.40254128241483,10800.0,2.7711166694643907e-13,18953.065653533486,0.0
S_6_12,"6,12",9,30,1512364.3214148495,1509917.6718805586,2446.649534291065,2375182.337609546,2282410.0543981018,1708533.556150317,494.097458311493,2,8,574370.5957060959,231514.52534110425,466500.8608379627,377865.6972787499,0.9699074074074074,232.17376089258943,10800.0,3.410605131648481e-13,8442.446998839376,356.00095772967404
S_6_12,"6,12",10,31,1368512.1551190543,1344526.7510800618,23985.40403899229,2179659.942460769,2062680.8277297628,1767736.0416716118,4403.076385242538,16,76,299347.8624433934,186978.3435095211,555916.3533092511,450292.24618049344,0.7231182795698925,168.96170547946176,10800.0,2.5224267119483557e-13,38517.00291912302,1564.3231329233593
S_6_12,"6,12",11,30,1541773.240901561,1444456.8677917614,97316.37310979974,2268962.891792026,2236976.772627566,2010711.3314382206,15743.100888240951,21,175,242008.5420775866,113958.10925349755,574361.4946968046,465580.68049541506,0.5085648148148149,175.78457138239116,10413.478009996377,3.410605131648481e-13,32592.448249935005,4719.466197683265
S_6_12,"6,12",12,31,1981167.827763353,1814171.9868675529,166995.8408957999,2798485.6710362476,2763853.856723036,2522605.713023388,31073.594024984817,23,266,272321.7377246332,34303.882931773616,652936.9921736609,528672.0983153792,0.4728942652329749,183.67085329631468,10643.328393647671,2.2737367544323206e-13,-5020.035771922267,-4700.973701881272
S_6_18,"6,18",2,28,1478297.043784231,1476422.5574088024,1874.4863754283147,2428357.6550234305,2281459.6854755366,1916641.744832456,309.16726627535843,8,14,365127.10790935595,107275.27684657795,502562.0837853243,407075.2878661128,0.902281746031746,163.647947815739,10800.0,2.2737367544323206e-13,30479.578141838138,2958.6397727080275
S_6_18,"6,18",3,31,1347331.6638653083,1345029.833193311,2301.8306719971933,2222545.1607398824,2093105.8553138212,1811846.1267860602,426.01257753023634,6,24,281685.7411052912,181400.58109727758,548041.469590085,443913.5903679689,0.8169802867383512,157.919133622239,10800.0,2.8421709430404007e-13,34791.197378756886,4677.013492755841
S_6_18,"6,18",4,30,1064757.7690735164,1052302.3630318863,12455.406041630053,1706974.0151362184,1697696.4684305538,1532268.682507975,2062.6143772425444,19,50,167490.40029982102,212024.06476480392,539709.8275041451,437194.8087609741,0.6620370370370371,150.49397789086208,10766.835019315067,2.2737367544323206e-13,54541.57492635085,6412.791570416715
S_6_18,"6,18",5,31,1187732.432478237,1079905.1483386534,107827.28413958334,1739504.2650940313,1734355.8885600553,1552960.268122601,16933.71889161154,20,145,198329.33932906555,269137.8049401532,510432.36701665726,413420.3688008761,0.633736559139785,188.60270064963888,10800.0,2.2737367544323206e-13,26495.77708986479,3678.793832663
S_6_18,"6,18",6,30,1518394.8412215183,1429054.046381314,89340.79484020355,2280447.148462532,2183714.7985672224,1974561.0664513404,14349.026661753676,21,192,223502.75877763564,119095.94661005601,555115.5455681648,449643.5919102135,0.5914351851851852,194.73401660225332,10800.0,2.5579538487363607e-13,57456.94584308575,5359.109320923519
S_6_18,"6,18",7,31,1694792.4367320645,1603321.9062171276,91470.53051493695,2423817.8857020256,2413084.6033858103,2192071.036639946,15680.552957820286,18,198,236694.11970368464,141836.9685378205,554814.7820287301,449399.97344327136,0.5929659498207885,210.4367623532201,10800.0,3.410605131648481e-13,13977.779502384008,2634.0419194695896
S_6_18,"6,18",8,31,1609331.961470077,1609314.710384021,17.25108605598239,2550493.2701735096,2399779.5734807705,1958879.2557943151,2.5608381289961244,1,1,440902.87852458406,285678.8094839189,468882.0107564737,379794.42871274386,0.9551971326164874,202.4492433830623,10800.0,2.2737367544323206e-13,7606.17093057571,0.0
S_6_18,"6,18",9,30,1516739.3698370298,1514292.720302739,2446.649534291065,2375182.337609546,2286329.958830705,1706983.8518115485,494.097458311493,2,8,579840.2044774682,230099.3146504034,465792.9995323428,377292.3296211976,0.9655092592592592,234.1854190520754,10800.0,3.410605131648481e-13,4067.3985766591504,356.00095772967404
S_6_18,"6,18",10,31,1374223.5050227328,1350478.7305359573,23744.774486775907,2179650.885423445,2068498.3352223574,1768576.4419567045,4366.4201481365235,16,76,304288.3134137891,187962.49510710943,555159.7674540095,449679.4116377478,0.7222222222222222,175.2602705072202,10800.0,2.2737367544323206e-13,32805.653015444244,1600.979370029374
S_6_18,"6,18",11,30,1549669.8196701047,1453019.254252723,96650.56541738145,2268947.8001111243,2247060.367940657,2012065.3430940942,15641.905177790257,21,175,250636.93002435216,115413.19528822029,573808.5554118134,465128.8155892727,0.5363425925925925,179.33894302485592,10417.9047714404,2.2737367544323206e-13,24695.869481391383,4820.661908133961
S_6_18,"6,18",12,31,1982664.9746992053,1818916.472496023,163748.50220318232,2798398.8031676575,2770376.2852884764,2522681.8843486905,30581.050263916393,23,261,278275.4512037029,34303.882931773616,653347.2278495716,529006.1626659879,0.489247311827957,185.1728548953502,10645.784651624008,2.8421709430404007e-13,-6517.182707774467,-4208.42994081285
S_12_18,"12,18",2,28,1475661.5038039612,1474492.5720671848,1168.9317367765202,2428357.6550196474,2284197.870706244,1915526.905703795,185.0592550367873,6,8,368856.0242574854,108487.18641584287,490316.0380067648,397155.99078547943,0.9050099206349206,166.90197992396347,10800.0,2.8421709430404007e-13,33115.11812210767,3082.7477839465982
