variant,date,month,risk_mode,lp_solution_count,planning_simultaneous_flow_slots_total,planning_simultaneous_flow_slots_max_per_lp,planning_simultaneous_flow_max_kwh,execution_simultaneous_flow_slots,execution_simultaneous_flow_max_kwh,target_soc_mae_kwh,target_soc_rmse_kwh,target_soc_max_abs_kwh,initial_plan_to_effective_grid_mae_kwh_per_slot,initial_plan_to_effective_grid_rmse_kwh_per_slot,initial_plan_to_effective_grid_sum_kwh,final_contract_to_effective_grid_mae_kwh_per_slot,final_contract_to_effective_grid_rmse_kwh_per_slot,final_contract_to_effective_grid_sum_kwh,emergency_slots,emergency_soc_end_at_min_rate,max_balance_residual_kwh
q4_2_variable_unclustered,2025-12-08,12,unclustered,1,0,0,0.0,0,0.0,1793.6393792668694,2236.50970369129,3917.362160381797,43.07902620866005,155.90970977801337,6193.377615996431,43.07902620866005,155.90970977801337,6193.377615996431,22,0.9090909090909091,1.1368683772161603e-13
q4_2_variable_unclustered,2025-12-09,12,unclustered,1,0,0,0.0,0,0.0,1248.9511223820145,1529.307040741401,2811.0628476214874,34.09934799002008,129.8869624794659,4832.627556629535,34.09934799002008,129.8869624794659,4832.627556629535,22,0.8636363636363636,2.2737367544323206e-13
q4_2_variable_unclustered,2025-12-10,12,unclustered,1,0,0,0.0,0,0.0,1355.1341432379013,1676.0358865286191,2984.33964507322,31.63031642867999,122.92883651054677,4533.235934383976,31.63031642867999,122.92883651054677,4533.235934383976,20,0.95,1.1368683772161603e-13
q4_2_variable_unclustered,2025-12-11,12,unclustered,1,0,0,0.0,0,0.0,662.6331060699898,796.3661310075548,1560.297864849892,16.267502521694183,79.09560726109743,1500.935707602414,16.267502521694183,79.09560726109743,1500.935707602414,13,0.9230769230769231,2.2737367544323206e-13
q4_2_variable_unclustered,2025-12-12,12,unclustered,1,0,0,0.0,0,0.0,1795.6605688194127,2881.7694937781985,7816.249070950502,244.9471341445805,405.4538848530229,-35272.38731681959,244.9471341445805,405.4538848530229,-35272.38731681959,0,,1.1368683772161603e-13
q4_2_variable_unclustered,2025-12-13,12,unclustered,1,0,0,0.0,0,0.0,1703.6136357703954,2798.4646133133547,7614.646422431972,241.8774414377505,399.00800940766834,-34830.35156703607,241.8774414377505,399.00800940766834,-34830.35156703607,0,,1.1368683772161603e-13
q4_2_variable_unclustered,2025-12-14,12,unclustered,1,0,0,0.0,0,0.0,948.2238458816464,1143.2363694135306,2160.6147931381465,24.55877364058417,109.4696104436352,3517.0628149906242,24.55877364058417,109.4696104436352,3517.0628149906242,17,1.0,0.0
q4_2_variable_unclustered,2025-12-15,12,unclustered,1,0,0,0.0,0,0.0,938.74709600397,1098.0987396759485,1661.5087088514078,21.59030338461622,106.08818591188161,3033.4692527437683,21.59030338461622,106.08818591188161,3033.4692527437683,13,0.9230769230769231,1.1368683772161603e-13
q4_2_variable_unclustered,2025-12-16,12,unclustered,1,0,0,0.0,0,0.0,609.2486787645939,727.8539016718337,1340.9953291871916,17.707047613652268,83.19017798103799,2096.1116014527815,17.707047613652268,83.19017798103799,2096.1116014527815,17,0.8823529411764706,2.2737367544323206e-13
q4_2_variable_unclustered,2025-12-17,12,unclustered,1,0,0,0.0,0,0.0,298.3953599578862,477.8019190423265,1231.7514619750382,9.35897800377146,35.721251428838535,80.71176970955122,9.35897800377146,35.721251428838535,80.71176970955122,9,1.0,2.2737367544323206e-13
q4_2_variable_unclustered,2025-12-18,12,unclustered,1,0,0,0.0,0,0.0,251.30913133115632,354.62390613892984,774.397501906029,23.59353303217683,74.0849026607904,-1656.0723076162267,23.59353303217683,74.0849026607904,-1656.0723076162267,10,1.0,2.2737367544323206e-13
q4_2_variable_unclustered,2025-12-19,12,unclustered,1,0,0,0.0,0,0.0,1827.302527548318,3053.4074430512737,9405.65876312213,276.26954562371833,430.9846535391305,-39782.81456981544,276.26954562371833,430.9846535391305,-39782.81456981544,0,,2.2737367544323206e-13
