variant,month,group,q20_threshold_actual_pv_kwh,days,emergency_day_rate,safe_net_coverage,mean_actual_pv_kwh,mean_cash_cost_yuan,mean_contract_cost_yuan,mean_emergency_cost_yuan,mean_emergency_kwh,mean_unused_contract_kwh,mean_pv_curtailed_kwh,mean_actual_effective_grid_kwh,mean_pinball_mean_kw
q4_2_variable,10,other,52644.35426666667,24,0.625,0.6961805555555556,58459.38200347222,45508.714166611615,38026.782004497036,7481.932162114584,1245.1000244970458,9904.737498857863,6523.246964775633,55610.35232008598,197.23194159798095
q4_2_variable,11,low_pv_q20,42166.810869999994,6,0.6666666666666666,0.49537037037037035,40028.048225,59606.98248377519,48557.92079578419,11049.061687990994,1780.2785388278905,10402.288073111731,2913.061282990397,68768.686561046,189.92223934671196
q4_2_variable,11,other,42166.810869999994,24,0.7083333333333334,0.41116898148148145,45624.27801180555,61669.88956076111,43424.640848568844,18245.248712192264,3025.588737997127,7526.0583516278775,3835.1628759289306,66174.25892973709,217.25181377345186
q4_2_variable,12,low_pv_q20,35262.685216666665,7,0.42857142857142855,0.746031746031746,35075.968023809524,64469.57497982099,58752.248579924744,5717.326399896251,803.9662744610616,23056.91837276719,2295.713314285714,68306.21137856552,238.294230114448
q4_2_variable,12,other,35262.685216666665,24,0.8333333333333334,0.4774305555555556,36698.453098611106,84072.82613925835,64004.33681713718,20068.48932212118,2861.7627939305276,7419.692202664479,786.431124711155,84797.4844287902,184.0617396201344
q4_3_variable,2,low_pv_q20,42771.98938,6,0.0,0.9340277777777778,41652.22804722222,63585.09292493184,63585.09292493184,0.0,0.0,11223.58087166663,1552.124610510362,78030.38651140592,124.5130125263825
q4_3_variable,2,other,42771.98938,22,0.36363636363636365,0.8948863636363636,48707.33748484848,50876.17648926052,50812.40031625729,63.776173003230426,10.777402179117212,12935.966588988564,4369.065074509485,65679.9216470149,166.40800832522007
q4_3_variable,3,low_pv_q20,50758.07591666666,7,0.5714285714285714,0.8452380952380952,48617.05687380951,47999.764185366,47758.334332408034,241.42985295796683,45.41530110032945,10638.401183150123,4742.763302285465,64357.588751524534,159.23011259232175
q4_3_variable,3,other,50758.07591666666,24,0.08333333333333333,0.8142361111111112,57250.1245,39268.68220047656,39250.34832482972,18.333875646848963,3.394552554049517,8157.403117950528,6079.585959966714,56650.97990291031,147.06137462010918
q4_3_variable,4,low_pv_q20,62120.41966,6,0.6666666666666666,0.6712962962962963,59557.947875000005,37946.68366035851,37737.90470929729,208.77895106121738,34.27459307582,3991.9053576409187,3781.793056383636,58130.76299483787,102.14053520703364
q4_3_variable,4,other,62120.41966,24,0.625,0.6539351851851852,66161.0837111111,32110.960944318194,31657.768349694048,453.19259462413874,78.15463232573711,5706.311888969361,7722.3684456354285,49206.60842522451,154.35155414745665
q4_3_variable,5,low_pv_q20,65536.15706666667,7,0.5714285714285714,0.6359126984126984,64009.37850952381,35987.23712352489,32305.340485227993,3681.896638296891,581.551585055857,7971.330353218531,9394.47498307284,49341.729551733835,211.30470859703647
q4_3_variable,5,other,65536.15706666667,24,0.6666666666666666,0.6050347222222222,68332.17222777777,36007.63722667891,32677.09524910698,3330.5419775719333,533.376419499412,5536.220999886347,8164.815946358787,50194.13743416746,174.91838810218374
q4_3_variable,6,low_pv_q20,54648.51869999999,6,0.5,0.7453703703703703,52189.661672222224,48911.05971000835,47921.76906597478,989.2906440335504,150.87257414433887,12063.676417325958,5737.839541733374,62098.788454283924,200.56231599597047
q4_3_variable,6,other,54648.51869999999,24,0.75,0.5512152777777778,58047.381540972216,53225.07145052999,49662.10797041763,3562.9634801123557,556.8682947194619,6043.20455353388,3602.2920800661436,66951.60506980465,184.9785952138517
q4_3_variable,7,low_pv_q20,62680.30703333332,7,0.42857142857142855,0.5595238095238095,61871.682364285705,66798.88546884306,60717.92584419149,6080.959624651578,834.4174496624104,8349.974932816654,4277.633380245448,72781.9960829167,253.56890226354565
q4_3_variable,7,other,62680.30703333332,24,0.5833333333333334,0.5966435185185185,66374.97516875,59676.12956038725,57102.83553237078,2573.2940280164667,383.379791121638,6722.451166670267,4708.619100024138,70312.34256757998,189.84738337324015
q4_3_variable,8,low_pv_q20,67167.14008333333,7,0.0,0.9732142857142857,65349.30474047618,59522.239099696024,59522.239099696024,0.0,0.0,15239.451558362389,7268.977289953589,66446.76964868749,198.88241328883078
q4_3_variable,8,other,67167.14008333333,24,0.041666666666666664,0.953125,71335.572,54755.696648819576,54754.808358093585,0.8882907259955305,0.10670158870817185,13409.344126401891,9725.08885558064,62358.715749311814,196.3956399364614
q4_3_variable,9,low_pv_q20,59161.75246999999,6,0.16666666666666666,0.9270833333333334,57409.67323055555,48295.159843514935,47886.52536682471,408.6344766902185,81.09693583691445,17213.2566578984,6711.555716682535,58089.274814278644,212.3522182964158
q4_3_variable,9,other,59161.75246999999,24,0.041666666666666664,0.9806134259259259,63875.56687499999,49805.78987876015,49804.22223706241,1.5676416977522643,0.3131212818840036,19695.785590629723,7985.157837329484,56775.28564574429,237.5227959605301
q4_3_variable,10,low_pv_q20,52644.35426666667,7,0.7142857142857143,0.5634920634920635,50860.53463333334,44050.86572732131,42768.898456596304,1281.967270725019,217.53677206481387,6720.182797412899,4454.862329418557,61811.95277282188,151.8476814459324
q4_3_variable,10,other,52644.35426666667,24,0.4583333333333333,0.7702546296296297,58459.38200347222,42016.92421142385,41365.083887680616,651.8403237432373,123.18515054152171,10519.879812816464,6490.464168707303,55656.055801350485,174.00201763307982
q4_3_variable,11,low_pv_q20,42166.810869999994,6,0.6666666666666666,0.5833333333333334,40028.048225,54607.794528932274,52165.77455875446,2442.0199701778197,406.34410966873753,10335.353355777665,2985.5842770620948,68938.59588447526,170.72961574405528
q4_3_variable,11,other,42166.810869999994,24,0.7083333333333334,0.49016203703703703,45624.27801180555,51191.67314292785,47733.483195874345,3458.1899470535113,586.6535336053802,7461.745553390626,3976.0775902878995,66496.38054370681,176.9182630828377
q4_3_variable,12,low_pv_q20,35262.685216666665,7,0.42857142857142855,0.7162698412698413,35075.968023809524,61612.659975280294,59100.63977521196,2512.020200068347,357.73405254535083,19741.85023879889,2249.2388180556713,68348.08772668587,229.73786567563266
q4_3_variable,12,other,35262.685216666665,24,0.8333333333333334,0.4053819444444444,36698.453098611106,74414.05184994648,66722.47565053224,7691.576199414248,1168.0342478559858,5580.951334950897,796.9688213462791,84961.98112262938,169.65341120040634
