date,method,comparison,cash_cost_yuan,contract_cost_yuan,emergency_cost_yuan,contract_kwh,base_contract_kwh,risk_reserve_kwh,expected_emergency_cost_yuan,emergency_kwh,emergency_slots,emergency_events,unused_contract_kwh,pv_curtailed_kwh,charge_kwh,discharge_kwh,soc_start_kwh,soc_end_kwh,soc_min_kwh,soc_max_kwh,runtime_seconds,max_balance_residual_kwh,simultaneous_flow_slots
2025-09-04,greedy,formal_continuous_closed_loop,50948.66390758609,50948.66390758609,0.0,78269.7686243164,71484.82004098306,6784.948583333335,3351.21148894849,0.0,0,0,16346.400272839504,4927.185430335098,16161.14405864112,13090.52668749931,10800.0,10800.0,3034.0601084656078,10800.0,0.0002376000047661364,1.1368683772161603e-13,0
2025-09-05,greedy,formal_continuous_closed_loop,28941.90181707992,28941.90181707992,0.0,47451.70245357344,40711.09667976391,6740.605773809525,3352.7707562123396,0.0,0,0,12753.629029012345,24694.39610379437,16733.766600526615,13554.350946426559,10800.0,10800.0,3670.3613875396795,10800.0,0.0002525000018067658,1.1368683772161603e-13,0
2025-09-06,greedy,formal_continuous_closed_loop,29292.90194165217,29292.90194165217,0.0,47971.16771273655,41481.0056246413,6490.16208809524,3384.1869131443636,0.0,0,0,13367.824749500294,23662.728479010428,16944.898864346418,13725.368080120596,10800.0,10800.0,3264.895159680818,10800.0,0.00044439999328460544,1.1368683772161603e-13,0
2025-09-07,greedy,formal_continuous_closed_loop,49935.50672106884,49935.50672106884,0.0,76439.09461727123,69987.11733869978,6451.9772785714285,3449.9669688435306,0.0,0,0,15428.031268900648,2849.286766666666,16846.278763353934,13645.485798316684,10800.0,10800.0,3177.5405211640204,10800.0,0.00037900000461377203,2.2737367544323206e-13,0
2025-09-08,greedy,formal_continuous_closed_loop,46040.48166312804,41051.31687239432,4989.164790733718,64290.615614304574,57900.11786906648,6390.497745238097,3474.726002524166,715.189906928572,1,1,1548.2345458553787,456.0043604289452,19217.06878657282,15611.071704957321,10800.0,10749.726680185184,1200.0,10800.0,0.0004155999922659248,2.2737367544323206e-13,0
2025-09-09,greedy,formal_continuous_closed_loop,42213.78222539084,42213.78222539084,0.0,65769.05153926957,59044.90335117432,6724.148188095237,3403.5858323585317,0.0,0,0,3329.8454020051354,5688.723103814967,18960.014626049815,15312.36585926702,10749.726680185184,10800.0,1585.3705063227499,10800.0,0.00025069998810067773,2.2737367544323206e-13,0
2025-09-10,greedy,formal_continuous_closed_loop,48565.755710738886,42240.7280414149,6325.0276693239875,65475.49683032826,58859.70544461397,6615.791385714286,3417.52139695992,912.5669264047596,3,2,1199.6067849500282,0.0,20381.359588331547,16508.901266548553,10800.0,10800.0,1200.0,10800.0,0.0002558999985922128,1.1368683772161603e-13,0
2025-09-11,greedy,formal_continuous_closed_loop,42762.04726172885,42762.04726172885,0.0,66416.69135561865,59350.98391038054,7065.707445238096,3433.1896107539274,0.0,0,0,4520.596077395649,4716.56618348031,19386.543744259743,15703.100432850393,10800.0,10800.0,1640.72731746032,10800.0,0.00033889999031089246,1.1368683772161603e-13,0
2025-09-12,greedy,formal_continuous_closed_loop,22773.286685659168,22773.286685659168,0.0,38684.28211643628,31790.80086405533,6893.481252380954,3421.547601404919,0.0,0,0,4266.863798971192,18984.418346746737,20428.125109043976,16546.78133832562,10800.0,10800.0,1474.761033500635,10800.0,0.0002339000056963414,1.1368683772161603e-13,0
2025-09-13,greedy,formal_continuous_closed_loop,22801.81121894093,22801.81121894093,0.0,38953.23326572811,32177.309260966205,6775.924004761906,3465.8901389777766,0.0,0,0,4242.845935067604,22866.327051574972,20194.519977643136,16357.561181890938,10800.0,10800.0,1789.5011580423259,10800.0,0.0008705999935045838,1.1368683772161603e-13,0
